#SampleID	BarcodeSequence	LinkerPrimerSequence	Description	AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	Assay_Type	BioProject	BioSampleModel	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	SEASON
135				466	SAMN07280158	SRX2960802	2	8	4	SRR5761071	SRS2317667	TZ_HADZA_135	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
138				472	SAMN07280160	SRX2960804	4	9	4	SRR5761069	SRS2317668	TZ_HADZA_138	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
136				470	SAMN07280159	SRX2960805	3	8	3	SRR5761068	SRS2317669	TZ_HADZA_136	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
107				473	SAMN07280166	SRX2960806	10	10	4	SRR5761067	SRS2317670	TZ_HADZA_107	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
145				468	SAMN07280165	SRX2960807	9	8	4	SRR5761066	SRS2317671	TZ_HADZA_145	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
151				475	SAMN07280172	SRX2960808	16	11	5	SRR5761065	SRS2317672	TZ_HADZA_151	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
150				469	SAMN07280171	SRX2960809	15	9	4	SRR5761064	SRS2317673	TZ_HADZA_150	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
153				472	SAMN07280174	SRX2960810	18	9	4	SRR5761063	SRS2317674	TZ_HADZA_153	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
152				472	SAMN07280173	SRX2960811	17	8	4	SRR5761062	SRS2317675	TZ_HADZA_152	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
148				471	SAMN07280168	SRX2960812	12	10	4	SRR5761061	SRS2317676	TZ_HADZA_148	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
147				469	SAMN07280167	SRX2960813	11	9	4	SRR5761060	SRS2317677	TZ_HADZA_147	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
111				462	SAMN07280170	SRX2960814	14	9	4	SRR5761059	SRS2317678	TZ_HADZA_111	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
117				468	SAMN07280176	SRX2960816	20	6	2	SRR5761057	SRS2317679	TZ_HADZA_117	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
149				468	SAMN07280169	SRX2960815	13	10	4	SRR5761058	SRS2317680	TZ_HADZA_149	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
154				474	SAMN07280175	SRX2960817	19	8	3	SRR5761056	SRS2317681	TZ_HADZA_154	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
163				470	SAMN07280185	SRX2960748	29	8	3	SRR5761125	SRS2317612	TZ_HADZA_163	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
127				469	SAMN07280186	SRX2960749	30	8	4	SRR5761124	SRS2317613	TZ_HADZA_127	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
123				470	SAMN07280182	SRX2960751	26	8	4	SRR5761122	SRS2317615	TZ_HADZA_123	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
161				473	SAMN07280183	SRX2960752	27	10	4	SRR5761121	SRS2317616	TZ_HADZA_161	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
162				469	SAMN07280184	SRX2960753	28	10	4	SRR5761120	SRS2317617	TZ_HADZA_162	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3126				426	SAMN07280190	SRX2961002	34	11	7	SRR5760871	SRS2317866	TZ_HADZA_3126	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
436				473	SAMN07280189	SRX2961003	33	16	7	SRR5760870	SRS2317867	TZ_HADZA_436	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3124				422	SAMN07280188	SRX2961004	32	10	6	SRR5760869	SRS2317868	TZ_HADZA_3124	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3123				431	SAMN07280187	SRX2961005	31	10	6	SRR5760868	SRS2317869	TZ_HADZA_3123	8-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
189				471	SAMN07280208	SRX2960876	52	13	5	SRR5760997	SRS2317740	TZ_HADZA_189	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3148				435	SAMN07280210	SRX2960878	54	10	6	SRR5760995	SRS2317741	TZ_HADZA_3148	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3144				435	SAMN07280207	SRX2960877	51	12	7	SRR5760996	SRS2317742	TZ_HADZA_3144	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
191				474	SAMN07280209	SRX2960879	53	13	5	SRR5760994	SRS2317743	TZ_HADZA_191	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3142				422	SAMN07280205	SRX2960958	49	12	7	SRR5760915	SRS2317822	TZ_HADZA_3142	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3143				421	SAMN07280206	SRX2960959	50	10	6	SRR5760914	SRS2317823	TZ_HADZA_3143	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3136				430	SAMN07280199	SRX2960960	43	10	6	SRR5760913	SRS2317824	TZ_HADZA_3136	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
180				469	SAMN07280200	SRX2960961	44	10	4	SRR5760912	SRS2317825	TZ_HADZA_180	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
177				478	SAMN07280197	SRX2960962	41	12	5	SRR5760911	SRS2317826	TZ_HADZA_177	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
389				478	SAMN07280198	SRX2960963	42	18	8	SRR5760910	SRS2317827	TZ_HADZA_389	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3140				429	SAMN07280203	SRX2960964	47	14	8	SRR5760909	SRS2317828	TZ_HADZA_3140	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3141				436	SAMN07280204	SRX2960965	48	11	6	SRR5760908	SRS2317829	TZ_HADZA_3141	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
438				471	SAMN07280201	SRX2960966	45	16	7	SRR5760907	SRS2317830	TZ_HADZA_438	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3139				426	SAMN07280202	SRX2960967	46	12	7	SRR5760906	SRS2317831	TZ_HADZA_3139	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3131				438	SAMN07280194	SRX2961006	38	11	6	SRR5760867	SRS2317870	TZ_HADZA_3131	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
172				471	SAMN07280193	SRX2961007	37	11	5	SRR5760866	SRS2317871	TZ_HADZA_172	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3129				425	SAMN07280192	SRX2961008	36	9	5	SRR5760865	SRS2317872	TZ_HADZA_3129	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3128				435	SAMN07280191	SRX2961009	35	12	7	SRR5760864	SRS2317873	TZ_HADZA_3128	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
392				470	SAMN07280196	SRX2961010	40	16	7	SRR5760863	SRS2317874	TZ_HADZA_392	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3132				436	SAMN07280195	SRX2961011	39	8	5	SRR5760862	SRS2317875	TZ_HADZA_3132	23-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3188				443	SAMN07280217	SRX2960788	61	12	7	SRR5761085	SRS2317652	TZ_HADZA_3188	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3108				432	SAMN07280218	SRX2960789	62	15	9	SRR5761084	SRS2317653	TZ_HADZA_3108	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3109				396	SAMN07280219	SRX2960790	63	14	9	SRR5761083	SRS2317654	TZ_HADZA_3109	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3110				431	SAMN07280220	SRX2960791	64	11	7	SRR5761082	SRS2317655	TZ_HADZA_3110	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3187				413	SAMN07280216	SRX2960874	60	10	6	SRR5760999	SRS2317738	TZ_HADZA_3187	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3186				407	SAMN07280215	SRX2960875	59	10	6	SRR5760998	SRS2317739	TZ_HADZA_3186	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3099				433	SAMN07280212	SRX2960880	56	14	9	SRR5760993	SRS2317744	TZ_HADZA_3099	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3185				433	SAMN07280214	SRX2960882	58	11	6	SRR5760991	SRS2317745	TZ_HADZA_3185	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3182				435	SAMN07280211	SRX2960881	55	10	6	SRR5760992	SRS2317746	TZ_HADZA_3182	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
3101				435	SAMN07280213	SRX2960883	57	11	7	SRR5760990	SRS2317747	TZ_HADZA_3101	27-Oct-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
213				474	SAMN07280233	SRX2960683	77	14	6	SRR5761190	SRS2317546	TZ_HADZA_213	26-Jan-14	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	WET
214				472	SAMN07280234	SRX2960682	78	13	6	SRR5761191	SRS2317547	TZ_HADZA_214	26-Jan-14	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	WET
212				466	SAMN07280232	SRX2960684	76	13	6	SRR5761189	SRS2317548	TZ_HADZA_212	26-Jan-14	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	WET
211				475	SAMN07280231	SRX2960685	75	16	7	SRR5761188	SRS2317549	TZ_HADZA_211	26-Jan-14	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	WET
